Referencia,zona,contrato,ascensor,calle,consumo_energia,dormitorios,precio_venta,ciudad,baños,planta/piso,tipo_inmueble,calefaccion,año_construcción,Comunidad Autonoma,Clase_energia,Pais,Fecha_publicación,Superficie
580194,,venta,Sí,Calle senda de los huertos,"207,61 kWh/m&sup2; año",2 dorm.,78000,Jaén,1 baño,1,Media,,1988,Andalucía,e,es,2024-04-22 20:17:13,85.00
595245,Jaén,venta,,Plaza de la Constitución,,,297000,Jaén,,,Popular,,1980,Andalucía,,es,2024-10-07 12:44:29,220.00
308638,,venta,,Calle Betania,,2 dorm.,54000,Jaén,1 baño,2,Popular,,1960,Andalucía,,es,2024-03-15 12:08:21,69.00
595622,,venta,,Plaza Virgen de los Desamparados,,3 dorm.,83000,Jaén,,,Media,,1977,Andalucía,,es,2024-10-02 12:40:43,78.00
580277,,venta,,Calle tableron,,2 dorm.,139900,Jaén,2 baños,,Popular,,1963,Andalucía,,es,2024-04-22 12:00:22,91.00
598953,Eugenio Gross - Echevarria,venta,,Pje. Begoña,"114,23 kW h/m&sup2; año",3 dorm.,270000,Málaga,2 baños,,Media,,1970,Andalucía,e,es,2024-10-23 20:22:06,111.00
598525,Cristo De La Epidemia - Victoria,venta,Sí,C. Manrique,"127,3 kWh/m&sup2; año",3 dorm.,289000,Málaga,1 baño,5 (planta alta),Media,,1970,Andalucía,e,es,2024-10-18 20:00:01,85.00
580370,Fuenteolletas,venta,,Calle Obispo Juan de Eulate,"102,8 kW h/m&sup2; año",2 dorm.,109000,Málaga,1 baño,1,Popular,,1965,Andalucía,e,es,2024-10-23 13:55:21,49.00
575477,Fuenteolletas,venta,Sí,Alameda de Capuchinos,"90,0 kW h/m&sup2; año",4 dorm.,370000,Málaga,2 baños,1,Popular,,1977,Andalucía,e,es,2024-10-31 16:44:25,113.00
590793,Cristo De La Epidemia - Victoria,venta,Sí,C. Conde de Ureña,"70,7 kW h/m&sup2; año",3 dorm.,218000,Málaga,1 baño,Baja,Media,,1974,Andalucía,e,es,2024-09-20 19:09:38,116.00
594440,Jardín Botánico - Sagrada Família,venta,,C. Alcalde Narciso Briales,"81,25 kW h/m&sup2; año",3 dorm.,153000,Málaga,1 baño,,Popular,,1970,Andalucía,e,es,2024-09-16 20:33:52,68.00
596567,Miraflores De Los Angeles,venta,,Calle Genoveses,,3 dorm.,129900,Málaga,1 baño,,Popular,,1981,Andalucía,,es,2024-10-08 12:24:26,78.00
